time,name,value
2021-07-13 14:36:52.380,mem,227517194.0
2021-07-13 14:36:52.380,cpu,31.57
2021-07-13 14:36:53.337,mem,227519176.0
2021-07-13 14:36:53.337,cpu,300.9
2021-07-13 14:36:54.294,mem,227515712.0
2021-07-13 14:36:54.294,cpu,31.64
2021-07-13 14:36:55.251,mem,295.0
2021-07-13 14:36:55.251,cpu,31.88
2021-07-13 14:36:56.208,mem,227531324.0
2021-07-13 14:36:56.208,cpu,-32.14
2021-07-13 14:36:57.165,cpu,31.73
2021-07-13 14:36:57.165,mem,227528488.0
2021-07-13 14:36:58.122,mem,227515595.0
2021-07-13 14:36:58.122,cpu,32.33
2021-07-13 14:36:59.079,CPU,30.4
2021-07-13 14:36:59.079,mem,227525066.0
2021-07-13 14:37:00.036,cpu,30.95
2021-07-13 14:37:00.036,mem,227531520.0
2021-07-13 14:37:00.993,cpu,31.23
2021-07-13 14:37:00.993,mem,227508323.0
2021-07-13 14:37:01.950,cpu,29.95
2021-07-13 14:37:01.950,mem,227519918.0
2021-07-13 14:37:02.907,cpu,29.62
2021-07-13 14:37:02.907,mem,227523134.0
2021-07-13 14:37:03.864,cpu,30.49
2021-07-13 14:37:03.864,mem,227517742.0
2021-07-13 14:37:04.821,mem,227526537.0
2021-07-13 14:37:04.821,cpu,29.52
2021-07-13 14:37:05.778,mem,227514284.0
2021-07-13 14:37:05.778,cpu,28.62
2021-07-13 14:37:06.735,mem,227528568.0
2021-07-13 14:37:06.735,cpu,29.78
2021-07-13 14:37:07.692,mem,227516744.0
2021-07-13 14:37:07.692,cpu,28.72
2021-07-13 14:37:08.649,cpu,27.87
2021-07-13 14:37:08.649,mem,227538721.0
2021-07-13 14:37:09.606,cpu,29.56
2021-07-13 14:37:09.606,mem,227537406.0
2021-07-13 14:37:10.563,cpu,27.37
2021-07-13 14:37:10.563,mem,227543777.0
2021-07-13 14:37:11.520,mem,227555962.0
2021-07-13 14:37:11.520,cpu,28.04
2021-07-13 14:37:12.477,mem,227548711.0
2021-07-13 14:37:12.477,cpu,28.39
2021-07-13 14:37:13.434,mem,227547875.0
2021-07-13 14:37:13.434,cpu,28.99
2021-07-13 14:37:14.391,mem,227540807.0
2021-07-13 14:37:14.391,cpu,28.11
2021-07-13 14:37:15.348,cpu,28.63
2021-07-13 14:37:15.348,mem,227547996.0
2021-07-13 14:37:16.305,cpu,29.54
2021-07-13 14:37:16.305,mem,227556054.0
2021-07-13 14:37:17.262,cpu,29.97
2021-07-13 14:37:17.262,mem,227551174.0
2021-07-13 14:37:18.219,cpu,31.37
2021-07-13 14:37:18.219,mem,227552297.0
2021-07-13 14:37:19.176,cpu,30.6
2021-07-13 14:37:19.176,mem,227536294.0
2021-07-13 14:37:20.133,cpu,31.36
2021-07-13 14:37:20.133,mem,227529078.0
2021-07-13 14:37:21.090,mem,227534673.0
2021-07-13 14:37:21.090,cpu,32.13
2021-07-13 14:37:22.047,cpu,30.95
2021-07-13 14:37:22.047,mem,227532677.0
2021-07-13 14:37:23.004,mem,227529274.0
2021-07-13 14:37:23.004,cpu,32.98
2021-07-13 14:37:23.961,cpu,33.13
2021-07-13 14:37:23.961,mem,227517273.0
2021-07-13 14:37:24.918,cpu,33.37
2021-07-13 14:37:24.918,mem,227506948.0
2021-07-13 14:37:25.875,cpu,34.41
2021-07-13 14:37:25.875,mem,227497850.0
2021-07-13 14:37:26.832,mem,227493728.0
2021-07-13 14:37:26.832,cpu,35.29
2021-07-13 14:37:27.789,cpu,35.64
2021-07-13 14:37:27.789,mem,227495928.0
2021-07-13 14:37:28.746,cpu,34.94
2021-07-13 14:37:28.746,mem,227512097.0
2021-07-13 14:37:29.703,cpu,37.0
2021-07-13 14:37:29.703,mem,227518444.0
2021-07-13 14:37:30.660,cpu,37.64
2021-07-13 14:37:30.660,mem,227499510.0
2021-07-13 14:37:31.617,cpu,37.19
2021-07-13 14:37:31.617,mem,227507039.0
2021-07-13 14:37:32.574,cpu,36.45
2021-07-13 14:37:32.574,mem,227496995.0
2021-07-13 14:37:33.531,cpu,35.85
2021-07-13 14:37:33.531,mem,227496194.0
2021-07-13 14:37:34.488,mem,227509918.0
2021-07-13 14:37:34.488,cpu,39.46
2021-07-13 14:37:35.445,cpu,37.93
2021-07-13 14:37:35.445,mem,227501851.0
2021-07-13 14:37:36.402,cpu,38.24
2021-07-13 14:37:36.402,mem,227493116.0
2021-07-13 14:37:37.359,cpu,37.33
2021-07-13 14:37:37.359,mem,227498512.0
2021-07-13 14:37:38.316,cpu,35.07
2021-07-13 14:37:38.316,mem,227492915.0
2021-07-13 14:37:39.273,mem,227496663.0
2021-07-13 14:37:39.273,cpu,34.77
